name,url,latitude,longitude
US-50 at Mather,http://video.dot.ca.gov/asx/d3-mather-50.asx,38.578366,-121.308117
US-50 at Mayhew,http://video.dot.ca.gov/asx/d3-mayhew-50.asx,38.561925,-121.349401
US-50 at Scott 1,http://video.dot.ca.gov/asx/d3-scott1-50.asx,38.644751,-121.114913
US-50 at Scott 2,http://video.dot.ca.gov/asx/d3-scott2-50.asx,38.649075,-121.082426
US-50 at Spring,http://video.dot.ca.gov/asx/d3-Spring-50.asx,38.728209,-120.805621
US-50 at Sunrise,http://video.dot.ca.gov/asx/d3-sunrise-50.asx,38.608956,-121.271038
US-50 at Watt,http://video.dot.ca.gov/asx/d3-watt-50.asx,38.558703,-121.379528
US-50 at Zinfandel,http://video.dot.ca.gov/asx/d3-zinfandel-50.asx,38.590912,-121.287603

# US-65
#
US65 at Pleasant Grove,http://video.dot.ca.gov/asx/d3-PleasantGrv-65.asx,38.786405,-121.284170

# I-80
#
I-80 at Antelope,http://video.dot.ca.gov/asx/d3-antelope-80.asx,38.707348,-121.309662
I-80 at Chiles,http://video.dot.ca.gov/asx/d3-chiles-80.asx,38.551924,-121.511406
I-80 at Darling,http://video.dot.ca.gov/asx/d3-darling-80.asx,38.551924,-121.511406
I-80 at Douglas,http://video.dot.ca.gov/asx/d3-douglas-80.asx,38.743975,-121.270952
I-80 at Foothill,http://video.dot.ca.gov/asx/d3-foothill-80.asx,38.675392,-121.344594
I-80 at Greenback,http://video.dot.ca.gov/asx/d3-Greenback-80.asx,38.682762,-121.336698
I-80 at Northgate,http://video.dot.ca.gov/asx/d3-northgate-80.asx,38.640607,-121.477718
I-80 at Norwood,http://video.dot.ca.gov/asx/d3-norwood-80.asx,38.641377,-121.456947
I-80 at Riverside,http://video.dot.ca.gov/asx/d3-riverside-80.asx,38.724580,-121.290523
I-80 at Rocklin,http://video.dot.ca.gov/asx/d3-Rocklin-80.asx,38.788500,-121.222717
I-80 at the Split,http://video.dot.ca.gov/asx/d3-split-80.asx,38.645031,-121.378326
I-80 at Truxel,http://video.dot.ca.gov/asx/d3-truxel-80.asx,38.633634,-121.500720
I-80 at Watt,http://video.dot.ca.gov/asx/d3-Watt-80.asx,38.645031,-121.383304
I-80 at West Capital,http://video.dot.ca.gov/asx/d3-west-capitol-80.asx,38.574205,-121.577711

# US-99
#
US-99 at 4th,http://video.dot.ca.gov/asx/d3-4th-99.asx,38.551912,-121.474029
US-99 at 12th,http://video.dot.ca.gov/asx/d3-12th-99.asx,38.541172,-121.473857
US-99 at 47th,http://video.dot.ca.gov/asx/d3-47th-99.asx,38.510430,-121.460037
US-99 at Florin,http://video.dot.ca.gov/asx/d3-Florin-99.asx,38.496123,-121.446046
US-99 at Fruitridge,http://video.dot.ca.gov/asx/d3-Fruitridge-99.asx,38.524868,-121.467676
US-99 at Grantline,http://video.dot.ca.gov/asx/d3-Grantline-99.asx,38.376384,-121.362190
US-99 at Mack Rd,http://video.dot.ca.gov/asx/d3-mack-99.asx,38.474019,-121.422958
US-99 at Sheldon,http://video.dot.ca.gov/asx/d3-Sheldon-99.asx,38.437813,-121.401760
US-99 at Twin Cities,http://video.dot.ca.gov/asx/d3-Twin-Cities-99.asx,38.291069,-121.312324

# Cap City Freeway
#
Cap City at Arden,http://video.dot.ca.gov/asx/d3-Arden-51.asx,38.603310,-121.434633
Cap City at Cal Expo,http://video.dot.ca.gov/asx/d3-Exposition-51.asx,38.596614,-121.443557
Cap City at E St,http://video.dot.ca.gov/asx/d3-est-51.asx,38.578802,-121.464972
Cap City at El Camino,http://video.dot.ca.gov/asx/d3-El-Camino-51.asx,38.611102,-121.426734
Cap City at Elvas,http://video.dot.ca.gov/asx/d3-Elvas-51.asx,38.585478,-121.450853
Cap City at Fulton,http://video.dot.ca.gov/asx/d3-Fulton-51.asx,38.630684,-121.401586
Cap City at Marconi,http://video.dot.ca.gov/asx/d3-Marconi-51.asx,38.620022,-121.419782
Cap City at N St,http://video.dot.ca.gov/asx/d3-Nst-51.asx,38.568859,-121.469265
Cap City at T St,http://video.dot.ca.gov/asx/d3-Tst-51.asx,38.562260,-121.472010
Cap City at Watt,http://video.dot.ca.gov/asx/d3-Watt-51.asx,38.639668,-121.383218
